timestamp,finger_id,u_normalized,f_normalized
1767594012.966367,0,0.21000000000000005,0.002
1767594013.0356624,0,0.22000000000000006,0.139
1767594013.0979466,0,0.23000000000000007,0.413
1767594013.1580753,0,0.24000000000000007,0.712
1767594013.2167947,0,0.25000000000000006,0.936
1767594013.2758098,0,0.26000000000000006,1.0
1767594015.2154706,0,0.3900000000000002,0.869
1767594015.27768,0,0.4000000000000002,0.612
1767594015.3351033,0,0.4100000000000002,0.317
1767594015.3951862,0,0.4200000000000002,0.079
1767594015.4559662,0,0.4300000000000002,0.0
