timestamp,direction,src_ip,src_port,dst_ip,dst_port,payload
1766822835.7267966,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822835.8773406,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822836.0514407,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822836.2083302,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822836.3763735,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822836.546742,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,11"
1766822836.6982005,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822836.870538,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,1"
1766822837.0276783,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,2"
1766822837.1920116,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822837.4856415,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822837.520597,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,4"
1766822837.6885016,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,2"
1766822837.8538642,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,1"
1766822838.015298,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,0"
1766822838.1824331,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,2"
1766822838.3409936,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,10"
1766822838.5091581,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.000,4"
1766822838.6817658,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.001,4"
1766822838.8348887,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.001,0"
1766822839.0004234,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.001,0"
1766822839.1613393,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.001,41"
1766822839.4368143,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.003,38"
1766822839.4954934,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.004,25"
1766822839.6545253,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.030,47"
1766822839.8206818,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.053,61"
1766822839.9863834,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.106,73"
1766822840.1478052,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.145,58"
1766822840.3174539,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.179,70"
1766822840.474175,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.197,27"
1766822840.6397367,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,69"
1766822840.800866,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,0"
1766822840.9666693,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,8"
1766822841.134589,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.195,37"
1766822841.2938898,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,2"
1766822841.4586964,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,0"
1766822841.6435637,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,2"
1766822841.7854366,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,5"
1766822841.9498317,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,0"
1766822842.112006,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,5"
1766822842.279264,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,0"
1766822842.4651108,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,7"
1766822842.604997,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,0"
1766822842.809522,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,12"
1766822842.9317534,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,0"
1766822843.0983891,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,0"
1766822843.2608042,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.193,0"
1766822843.4712548,Pico->Unity,192.168.0.4,57142,127.0.0.1,5005,"0,0.194,11"
