timestamp,direction,finger_id,finger_norm,current,src_ip,src_port,dst_ip,dst_port
1766827458.2808123,Pico->Unity,0,0.001,0,192.168.0.4,62220,127.0.0.1,5005
1766827458.449677,Pico->Unity,0,0.001,0,192.168.0.4,62220,127.0.0.1,5005
1766827458.6129773,Pico->Unity,0,0.001,0,192.168.0.4,62220,127.0.0.1,5005
1766827458.782985,Pico->Unity,0,0.000,4,192.168.0.4,62220,127.0.0.1,5005
1766827458.957056,Pico->Unity,0,0.000,0,192.168.0.4,62220,127.0.0.1,5005
1766827459.1029248,Pico->Unity,0,0.001,10,192.168.0.4,62220,127.0.0.1,5005
1766827459.2643626,Pico->Unity,0,0.001,0,192.168.0.4,62220,127.0.0.1,5005
1766827459.4334936,Pico->Unity,0,0.000,0,192.168.0.4,62220,127.0.0.1,5005
1766827459.6047502,Pico->Unity,0,0.001,18,192.168.0.4,62220,127.0.0.1,5005
1766827459.7753785,Pico->Unity,0,0.002,35,192.168.0.4,62220,127.0.0.1,5005
1766827459.9800417,Pico->Unity,0,0.002,35,192.168.0.4,62220,127.0.0.1,5005
1766827460.08454,Pico->Unity,0,0.004,34,192.168.0.4,62220,127.0.0.1,5005
1766827460.2540958,Pico->Unity,0,0.007,51,192.168.0.4,62220,127.0.0.1,5005
1766827460.4225376,Pico->Unity,0,0.060,61,192.168.0.4,62220,127.0.0.1,5005
1766827460.6989696,Pico->Unity,0,0.083,51,192.168.0.4,62220,127.0.0.1,5005
1766827460.7401178,Pico->Unity,0,0.111,44,192.168.0.4,62220,127.0.0.1,5005
1766827460.9051194,Pico->Unity,0,0.111,0,192.168.0.4,62220,127.0.0.1,5005
1766827461.0705795,Pico->Unity,0,0.111,43,192.168.0.4,62220,127.0.0.1,5005
1766827461.239528,Pico->Unity,0,0.143,66,192.168.0.4,62220,127.0.0.1,5005
1766827461.4174116,Pico->Unity,0,0.196,58,192.168.0.4,62220,127.0.0.1,5005
1766827461.5692668,Pico->Unity,0,0.222,46,192.168.0.4,62220,127.0.0.1,5005
1766827461.5862832,Unity->Pico,0,0.187,,127.0.0.1,58744,192.168.0.4,5001
1766827461.7250538,Pico->Unity,0,0.253,38,192.168.0.4,62220,127.0.0.1,5005
1766827461.7429986,Unity->Pico,0,0.974,,127.0.0.1,58744,192.168.0.4,5001
1766827461.8884127,Pico->Unity,0,0.258,34,192.168.0.4,62220,127.0.0.1,5005
1766827461.9027152,Unity->Pico,0,1.000,,127.0.0.1,58744,192.168.0.4,5001
1766827462.0527878,Pico->Unity,0,0.259,119,192.168.0.4,62220,127.0.0.1,5005
1766827462.233019,Pico->Unity,0,0.259,117,192.168.0.4,62220,127.0.0.1,5005
1766827462.3819246,Pico->Unity,0,0.259,117,192.168.0.4,62220,127.0.0.1,5005
1766827462.5461297,Pico->Unity,0,0.259,115,192.168.0.4,62220,127.0.0.1,5005
1766827462.707647,Pico->Unity,0,0.260,122,192.168.0.4,62220,127.0.0.1,5005
1766827462.873498,Pico->Unity,0,0.259,115,192.168.0.4,62220,127.0.0.1,5005
1766827463.0527194,Pico->Unity,0,0.259,119,192.168.0.4,62220,127.0.0.1,5005
1766827463.2577345,Pico->Unity,0,0.260,122,192.168.0.4,62220,127.0.0.1,5005
1766827463.3632216,Pico->Unity,0,0.259,112,192.168.0.4,62220,127.0.0.1,5005
1766827463.528163,Pico->Unity,0,0.259,119,192.168.0.4,62220,127.0.0.1,5005
1766827463.693011,Pico->Unity,0,0.259,117,192.168.0.4,62220,127.0.0.1,5005
1766827463.871535,Pico->Unity,0,0.260,120,192.168.0.4,62220,127.0.0.1,5005
1766827464.0213733,Pico->Unity,0,0.260,112,192.168.0.4,62220,127.0.0.1,5005
1766827464.1848094,Pico->Unity,0,0.260,119,192.168.0.4,62220,127.0.0.1,5005
1766827464.350078,Pico->Unity,0,0.259,122,192.168.0.4,62220,127.0.0.1,5005
1766827464.5134308,Pico->Unity,0,0.259,116,192.168.0.4,62220,127.0.0.1,5005
1766827464.6913903,Pico->Unity,0,0.259,120,192.168.0.4,62220,127.0.0.1,5005
1766827464.8413112,Pico->Unity,0,0.259,113,192.168.0.4,62220,127.0.0.1,5005
1766827465.0086179,Pico->Unity,0,0.259,125,192.168.0.4,62220,127.0.0.1,5005
1766827465.1694984,Pico->Unity,0,0.260,126,192.168.0.4,62220,127.0.0.1,5005
1766827465.4102297,Pico->Unity,0,0.260,110,192.168.0.4,62220,127.0.0.1,5005
1766827465.5104227,Pico->Unity,0,0.259,119,192.168.0.4,62220,127.0.0.1,5005
